timestamp_task;participant_ID;task_ID;event
52493;G01;4;Zlato (click)
10084;G01;2;Pop-up in map: pouste a polopouste
11646;G01;2;Pop-up in map: pouste a polopouste
13878;G01;2;Pop-up in map: pouste a polopouste
18356;G01;2;Pop-up in map: savany a suche stepi
25046;G01;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
28287;G01;2;Pop-up in map: savany a suche stepi
28472;G01;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
29359;G01;2;Pop-up in map: savany a suche stepi
29872;G01;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
31096;G01;2;Pop-up in map: tropicke destne lesy
32521;G01;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
34417;G01;2;Pop-up in map: tropicke destne lesy
35051;G01;2;Pop-up in map: tropicke destne lesy
35376;G01;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
39264;G01;2;Pop-up in map: tropicke destne lesy
40002;G01;2;Pop-up in map: tropicke destne lesy
41154;G01;2;Pop-up in map: savany a suche stepi
42877;G01;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
43549;G01;2;Pop-up in map: savany a suche stepi
47762;G01;2;Pop-up in map: tropicke destne lesy
50494;G01;2;Pop-up in map: savany a suche stepi
50919;G01;2;Pop-up in map: tropicke destne lesy
52051;G01;2;Pop-up in map: savany a suche stepi
55787;G01;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
59156;G01;2;Pop-up in map: savany a suche stepi
61127;G01;2;Pop-up in map: pouste a polopouste
65921;G01;2;Pop-up in map: pouste a polopouste
66334;G01;2;Pop-up in map: vegetace stredomorskeho typu
74259;G01;2;Pop-up in map: savany a suche stepi
74610;G01;2;Pop-up in map: pouste a polopouste
30140;G02;4;Zlato (hover - start)
32271;G02;4;Zlato (hover - end)
32815;G02;4;Zlato (click)
7689;G02;2;Pop-up in map: savany a suche stepi
8290;G02;2;Pop-up in map: tropicke destne lesy
12487;G02;2;Hover in legend: vegetace stredomorskeho typu
12784;G02;2;Hover in legend: pouste a polopouste
14147;G02;2;Pop-up in map: tropicke a subtropicke lesy (suche i vlhke)
14449;G02;2;Pop-up in map: pouste a polopouste
